anime_id,title_english,type,episodes,status,duration,rating,score,rank,popularity,premiered
30212,This Mayonnaise is too Liquid.,Movie,1,Finished Airing,2 min.,G - All Ages,4.63,9301,11407,
12611,Sengoku Collection,TV,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.5,5621,2769,Spring 2012
14719,JoJo&#039;s Bizarre Adventure,TV,26,Finished Airing,24 min. per ep.,R - 17+ (violence & profanity),8.41,159,166,Fall 2012
23753,,Special,2,Finished Airing,6 min. per ep.,PG-13 - Teens 13 or older,6.03,7282,8671,
1856,,ONA,7,Finished Airing,5 min. per ep.,PG-13 - Teens 13 or older,6.27,6508,4883,
14345,BTOOOM!,TV,12,Finished Airing,24 min. per ep.,R - 17+ (violence & profanity),7.59,1371,94,Fall 2012
5228,Initial D Extra Stage 2,OVA,1,Finished Airing,54 min.,PG-13 - Teens 13 or older,7.52,1575,2940,
36085,Loop of Farewell,Music,1,Finished Airing,3 min.,G - All Ages,3.7,11688,14068,
37007,,TV,0,Not yet aired,Unknown,,0,,7459,Fall 2018
340,Time of Shura,TV,26,Finished Airing,23 min. per ep.,R - 17+ (violence & profanity),7.65,1227,2929,Spring 2004
5147,,OVA,4,Finished Airing,30 min. per ep.,PG-13 - Teens 13 or older,6.62,5103,6409,
4103,,OVA,1,Finished Airing,4 min.,PG-13 - Teens 13 or older,5.7,8004,8756,
28057,,Movie,1,Finished Airing,9 min.,G - All Ages,5.32,8645,11403,
23711,,OVA,1,Finished Airing,50 min.,G - All Ages,6.59,5254,9537,
10177,DD Fist of the North Star,TV,12,Finished Airing,3 min. per ep.,PG-13 - Teens 13 or older,6.24,6614,5958,Winter 2011
30514,,ONA,1,Finished Airing,1 min.,PG-13 - Teens 13 or older,6.98,3650,2348,
5238,,Movie,1,Finished Airing,1 hr. 27 min.,PG - Children,6.43,5869,7356,
32698,Everyday Life with Monster Girls OVA,OVA,2,Finished Airing,24 min. per ep.,R+ - Mild Nudity,7.33,2314,1806,
3878,,TV,49,Finished Airing,24 min. per ep.,G - All Ages,6.54,5456,8442,Winter 1980
461,One Piece: Chopper Kingdom of Strange Animal Island,Movie,1,Finished Airing,55 min.,PG-13 - Teens 13 or older,7.13,3087,1662,
4004,,OVA,2,Finished Airing,30 min. per ep.,Rx - Hentai,6.47,,5080,
2089,The Super Dimension Century Orguss,TV,35,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,6.71,4690,5899,Summer 1983
17479,,Movie,1,Finished Airing,15 min.,G - All Ages,5.25,9678,11857,
599,Phantom Quest Corp.,OVA,4,Finished Airing,30 min. per ep.,PG-13 - Teens 13 or older,6.54,5475,5942,
29854,Ushio and Tora,TV,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.67,1182,675,Summer 2015
33393,,OVA,1,Finished Airing,29 min.,Rx - Hentai,6.65,,6187,
10349,,TV,25,Finished Airing,2 min. per ep.,G - All Ages,6.28,6484,9786,Spring 2011
6518,,Movie,1,Finished Airing,1 hr. 27 min.,G - All Ages,6.53,5478,10050,
4393,The National Anthem Kimigayo,Movie,1,Finished Airing,3 min.,G - All Ages,4.84,9183,8225,
216,Welcome to Pia Carrot! Sayaka&#039;s Love Story,Movie,1,Finished Airing,48 min.,PG-13 - Teens 13 or older,6,7356,6794,
5420,Erin,TV,50,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,8.43,150,1544,Winter 2009
36428,,ONA,15,Finished Airing,13 min. per ep.,R - 17+ (violence & profanity),5.27,12844,9854,
30324,Dokuro the Ghost,ONA,1,Finished Airing,11 min.,G - All Ages,5.47,8420,8582,
29535,,OVA,1,Finished Airing,15 min.,G - All Ages,6,10387,12828,
1369,,OVA,1,Finished Airing,24 min.,PG-13 - Teens 13 or older,7.34,2272,3361,
11625,,Special,1,Finished Airing,1 hr. 12 min.,G - All Ages,5.67,9999,12006,
32158,,Special,1,Finished Airing,3 min.,PG-13 - Teens 13 or older,5.83,7733,9753,
3305,,TV,40,Finished Airing,25 min. per ep.,PG - Children,7.18,2894,7174,Summer 1978
5713,,OVA,1,Finished Airing,25 min.,PG-13 - Teens 13 or older,7.57,1434,2426,
6743,,Special,3,Finished Airing,18 min. per ep.,PG-13 - Teens 13 or older,6.49,5659,5328,
36124,The Junji Ito Collection,TV,12,Finished Airing,24 min. per ep.,R - 17+ (violence & profanity),6.2,6755,1515,Winter 2018
281,,OVA,3,Finished Airing,27 min. per ep.,PG-13 - Teens 13 or older,5.79,7815,3054,
1227,Shuten Doji - The Star Hand Kid,OVA,4,Finished Airing,50 min. per ep.,R+ - Mild Nudity,5.89,7597,7478,
2087,,TV,26,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,6.96,3723,7454,Spring 1996
4689,The Path of Wind,Music,1,Finished Airing,5 min.,G - All Ages,6.14,6963,6605,
12861,,Movie,1,Finished Airing,30 min.,G - All Ages,6.41,12578,12551,
7810,A Feather Stare at the Dark,Movie,1,Finished Airing,17 min.,R+ - Mild Nudity,4.99,9058,8867,
5653,,OVA,3,Finished Airing,30 min. per ep.,Rx - Hentai,6.38,,6459,
34389,Koro Sensei Quest!,ONA,12,Finished Airing,10 min. per ep.,PG-13 - Teens 13 or older,7.27,2532,2615,
3102,,OVA,2,Finished Airing,30 min. per ep.,Rx - Hentai,7.28,,3867,
10808,,TV,49,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.57,5339,2603,Fall 2011
9924,,OVA,1,Finished Airing,29 min.,R+ - Mild Nudity,6.58,5299,5059,
30168,,Music,1,Finished Airing,3 min.,G - All Ages,6.12,7034,6805,
10531,,OVA,1,Finished Airing,25 min.,PG-13 - Teens 13 or older,7.46,1764,4396,
32864,,OVA,0,Currently Airing,18 min.,Rx - Hentai,6.83,,4810,
6672,Video Warrior Laserion,TV,45,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.63,5090,9514,Spring 1984
18703,,OVA,1,Finished Airing,32 min.,PG-13 - Teens 13 or older,5.4,12264,11843,
3821,Portable Airport,Music,1,Finished Airing,3 min.,G - All Ages,5.72,7952,7052,
2788,Nymphs of the Stratosphere,OVA,3,Finished Airing,33 min. per ep.,Rx - Hentai,5.78,,6808,
33872,,ONA,1,Finished Airing,1 min.,PG - Children,5.08,8956,12139,
5,Cowboy Bebop: The Movie,Movie,1,Finished Airing,1 hr. 54 min.,R - 17+ (violence & profanity),8.41,157,438,
7041,Seto no Hanayome OVA Extras,Special,2,Finished Airing,40 sec. per ep.,PG-13 - Teens 13 or older,7.57,1441,3945,
12397,,OVA,2,Finished Airing,25 min. per ep.,Rx - Hentai,5.22,,10580,
17849,Sparrow&#039;s Hotel,TV,12,Finished Airing,3 min. per ep.,PG-13 - Teens 13 or older,5.55,8287,4129,Spring 2013
34314,,ONA,13,Finished Airing,7 min. per ep.,G - All Ages,6.74,4568,9731,
11471,,Special,1,Finished Airing,14 min.,PG-13 - Teens 13 or older,5.98,7388,9445,
34096,Gintama Season 5,TV,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,9.02,13,934,Winter 2017
7144,,Movie,1,Finished Airing,2 hr. 15 min.,PG-13 - Teens 13 or older,7.15,3022,6306,
1174,Munto,OVA,1,Finished Airing,54 min.,PG-13 - Teens 13 or older,6.96,3708,3146,
30614,,OVA,2,Finished Airing,27 min. per ep.,Rx - Hentai,7.31,,4287,
6844,Sankichi the Monkey: The Air Combat,Movie,1,Finished Airing,3 min.,G - All Ages,4.37,9400,9027,
2872,F-Force,OVA,3,Finished Airing,30 min. per ep.,Rx - Hentai,5.85,,7032,
2135,"Color of Sky, Color of Water",OVA,2,Finished Airing,30 min. per ep.,Rx - Hentai,7.2,,3480,
33173,,Special,3,Finished Airing,6 min. per ep.,PG-13 - Teens 13 or older,6.73,4640,5218,
36223,,ONA,1,Finished Airing,25 sec.,G - All Ages,5.35,8613,7461,
6024,Chi&#039;s New Address,TV,104,Finished Airing,3 min. per ep.,G - All Ages,7.86,772,2701,Spring 2009
3763,Sonic Soldier Borgman: Lovers Rain,Movie,1,Finished Airing,33 min.,PG-13 - Teens 13 or older,5.93,7491,9381,
36769,Purina Felix,Special,0,Currently Airing,25 sec.,G - All Ages,6.53,11838,12778,
34494,Sakura Quest,TV,25,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,7.47,1741,1011,Spring 2017
4495,,OVA,1,Finished Airing,30 min.,Rx - Hentai,5.23,,9730,
2485,,Special,4,Finished Airing,9 min. per ep.,PG-13 - Teens 13 or older,6.58,5284,7666,
79,Shuffle!,TV,24,Finished Airing,23 min. per ep.,R+ - Mild Nudity,7.24,2666,395,Summer 2005
32927,,Special,1,Finished Airing,3 min.,PG - Children,5.93,7504,8585,
24869,The Boy and the Blue Sea,OVA,1,Finished Airing,40 min.,G - All Ages,4.14,9617,12157,
36727,,Movie,1,Finished Airing,Unknown,G - All Ages,5.29,12050,13489,
8063,,OVA,2,Finished Airing,21 min. per ep.,PG-13 - Teens 13 or older,8.14,387,1675,
23735,,Special,6,Finished Airing,5 min. per ep.,R+ - Mild Nudity,6.2,6757,4860,
14693,,TV,13,Finished Airing,3 min. per ep.,PG-13 - Teens 13 or older,6.47,5744,5505,Summer 2012
